company,period,product,parent_product,geography,revenue,users,arpu
Alphabet,2024-Q4,Subscriptions,Subscriptions_Devices,EU,1500.0,1238760.1997113838,1210.8881124445893
Alphabet,2024-Q4,Subscriptions,Subscriptions_Devices,APAC,900.0,1164261.3912980112,773.0222841080459
Alphabet,2024-Q4,Subscriptions,Subscriptions_Devices,LATAM,300.0,314769.1267268204,953.0794939122535
Alphabet,2024-Q4,Subscriptions,Subscriptions_Devices,ROW,300.0,389364.7173500585,770.4858366257282
Alphabet,2024-Q4,Devices,Subscriptions_Devices,US,1890.0,1523288.471955469,1240.73675787343
Alphabet,2024-Q4,Devices,Subscriptions_Devices,EU,1260.0000000000002,1283974.8952652528,981.3275981067374
Alphabet,2024-Q4,Devices,Subscriptions_Devices,APAC,900.0,762460.2200694454,1180.3894502430924
Alphabet,2024-Q4,Devices,Subscriptions_Devices,LATAM,225.0,268102.9678054462,839.2297998106286
Alphabet,2024-Q4,Devices,Subscriptions_Devices,ROW,225.0,216969.6283109402,1037.0115013404154
Alphabet,2024-Q4,Other,Other,US,210.0,256534.1609031331,818.6044278106715
Alphabet,2024-Q4,Other,Other,EU,70.0,95639.6599315678,731.9139366460157
Alphabet,2024-Q4,Other,Other,APAC,52.5,45994.7387212293,1141.4349001567027
Alphabet,2024-Q4,Other,Other,LATAM,10.5,13848.103261024877,758.2265817985323
Alphabet,2024-Q4,Other,Other,ROW,7.0,5849.749436721422,1196.6324499401555
Alphabet,2025-Q1,Search,Advertising,US,24336.0,25028658.65415228,972.3253785301288
Alphabet,2025-Q1,Search,Advertising,EU,11154.0,14114435.707252678,790.2547598320588
Alphabet,2025-Q1,Search,Advertising,APAC,9126.0,12126485.555042494,752.5675892307629
Alphabet,2025-Q1,Search,Advertising,LATAM,2535.0,2508550.1325042723,1010.5438863481364
Alphabet,2025-Q1,Search,Advertising,ROW,3549.0000000000005,4261403.700223636,832.8241700765763
Alphabet,2025-Q1,YouTube_Ads,Advertising,US,4005.0,5272265.4871430695,759.6354944125217
Alphabet,2025-Q1,YouTube_Ads,Advertising,EU,1780.0,2187212.597147276,813.8212089312246
Alphabet,2025-Q1,YouTube_Ads,Advertising,APAC,1958.0,2225933.6217180016,879.6309022408282
Alphabet,2025-Q1,YouTube_Ads,Advertising,LATAM,534.0,594908.4866573324,897.617048632867
Alphabet,2025-Q1,YouTube_Ads,Advertising,ROW,623.0000000000001,500795.64033991925,1244.0204143493215
Alphabet,2025-Q1,Network,Advertising,US,2960.0,2935754.586038013,1008.25866510685
Alphabet,2025-Q1,Network,Advertising,EU,1850.0,2121233.560694824,872.1340423230058
Alphabet,2025-Q1,Network,Advertising,APAC,1480.0,1627975.8674088535,909.1043851624304
Alphabet,2025-Q1,Network,Advertising,LATAM,592.0,495940.4810512058,1193.6916275622116
Alphabet,2025-Q1,Network,Advertising,ROW,518.0,685890.8337523235,755.2222227058523
Alphabet,2025-Q1,Cloud,Cloud,US,6600.000000000001,8904682.882042594,741.1830480015999
Alphabet,2025-Q1,Cloud,Cloud,EU,2400.0,2103460.333030425,1140.9770663668064
Alphabet,2025-Q1,Cloud,Cloud,APAC,2160.0,1823337.525308499,1184.6407864800235
Alphabet,2025-Q1,Cloud,Cloud,LATAM,360.0,303190.4707709511,1187.3724101044268
Alphabet,2025-Q1,Cloud,Cloud,ROW,480.0,634230.036772028,756.8231905934384
Alphabet,2025-Q1,Subscriptions,Subscriptions_Devices,US,3100.0,3659370.1615862446,847.1403173534727
Alphabet,2025-Q1,Subscriptions,Subscriptions_Devices,EU,1550.0,1701811.6752329334,910.7940805423407
Alphabet,2025-Q1,Subscriptions,Subscriptions_Devices,APAC,930.0,835257.226237636,1113.4294571615105
Alphabet,2025-Q1,Subscriptions,Subscriptions_Devices,LATAM,310.0,373314.4194172729,830.3992127705544
Alphabet,2025-Q1,Subscriptions,Subscriptions_Devices,ROW,310.0,307151.23413931846,1009.2747986791073
Alphabet,2025-Q1,Devices,Subscriptions_Devices,US,1260.0,1545425.1766290541,815.3096112672142
Alphabet,2025-Q1,Devices,Subscriptions_Devices,EU,840.0000000000001,904019.0857491317,929.1839223769473
Alphabet,2025-Q1,Devices,Subscriptions_Devices,APAC,600.0,662689.1497960298,905.4018768598746
Alphabet,2025-Q1,Devices,Subscriptions_Devices,LATAM,150.0,191069.91592138834,785.0529439794924
Alphabet,2025-Q1,Devices,Subscriptions_Devices,ROW,150.0,128347.09279710425,1168.705864161064
Alphabet,2025-Q1,Other,Other,US,240.0,275341.22447858436,871.6457205218351
Alphabet,2025-Q1,Other,Other,EU,80.0,73467.27747020169,1088.920166293735
Alphabet,2025-Q1,Other,Other,APAC,60.0,77092.92306528846,778.2815544454994
Alphabet,2025-Q1,Other,Other,LATAM,12.0,13119.69146013067,914.6556560774853
Alphabet,2025-Q1,Other,Other,ROW,8.0,11145.737600165534,717.7631743170758
Alphabet,2025-Q2,Search,Advertising,US,26011.2,23664105.244083032,1099.1837524262125
Alphabet,2025-Q2,Search,Advertising,EU,11921.8,15356714.243802065,776.3249228142414
Alphabet,2025-Q2,Search,Advertising,APAC,9754.199999999999,8185356.41745541,1191.6646633980413
Alphabet,2025-Q2,Search,Advertising,LATAM,2709.5,3783589.321956071,716.1189467040838
Alphabet,2025-Q2,Search,Advertising,ROW,3793.3,5031878.23918609,753.853694324203
Alphabet,2025-Q2,YouTube_Ads,Advertising,US,4408.2,5640370.488638747,781.5444054392037
Alphabet,2025-Q2,YouTube_Ads,Advertising,EU,1959.2,1993260.2419536207,982.9122955263293
Alphabet,2025-Q2,YouTube_Ads,Advertising,APAC,2155.12,2250308.806468269,957.6996693988581
Alphabet,2025-Q2,YouTube_Ads,Advertising,LATAM,587.76,519203.0902318124,1132.042568809786
Alphabet,2025-Q2,YouTube_Ads,Advertising,ROW,685.72,895738.43865649,765.5359761366335
Alphabet,2025-Q2,Network,Advertising,US,2941.6000000000004,3242249.7212098544,907.2712631469776
Alphabet,2025-Q2,Network,Advertising,EU,1838.5,2423642.6025541946,758.5689400171739
Alphabet,2025-Q2,Network,Advertising,APAC,1470.8000000000002,1680257.909825291,875.3418099682865
Alphabet,2025-Q2,Network,Advertising,LATAM,588.32,638739.1286798937,921.0645999030985
Alphabet,2025-Q2,Network,Advertising,ROW,514.7800000000001,449719.21882726357,1144.6697816081687
Alphabet,2025-Q2,Cloud,Cloud,US,7493.200000000001,10026506.596159283,747.3390585381272
Alphabet,2025-Q2,Cloud,Cloud,EU,2724.8,3133498.2783142524,869.5712452938949
Alphabet,2025-Q2,Cloud,Cloud,APAC,2452.3199999999997,2021032.7684932621,1213.3994253978744
Alphabet,2025-Q2,Cloud,Cloud,LATAM,408.71999999999997,501455.33685204596,815.0676041575215
Alphabet,2025-Q2,Cloud,Cloud,ROW,544.96,622025.7977236158,876.1051422535077
Alphabet,2025-Q2,Subscriptions,Subscriptions_Devices,US,3500.0,4534510.166557838,771.8584524989303
Alphabet,2025-Q2,Subscriptions,Subscriptions_Devices,EU,1750.0,1958768.4971480612,893.4184935830726
Alphabet,2025-Q2,Subscriptions,Subscriptions_Devices,APAC,1050.0,1352343.7800794411,776.4297920890497
Alphabet,2025-Q2,Subscriptions,Subscriptions_Devices,LATAM,350.0,489372.16154522327,715.2021048660657
Alphabet,2025-Q2,Subscriptions,Subscriptions_Devices,ROW,350.0,353616.5103872565,989.7727897849114
Alphabet,2025-Q2,Devices,Subscriptions_Devices,US,1765.26,1593346.3843265371,1107.8946909250533
Alphabet,2025-Q2,Devices,Subscriptions_Devices,EU,1176.8400000000001,1218035.142593599,966.179019674358
Alphabet,2025-Q2,Devices,Subscriptions_Devices,APAC,840.6,1052288.2928886525,798.830516010452
Alphabet,2025-Q2,Devices,Subscriptions_Devices,LATAM,210.15,223502.3760180139,940.2584605322597
Alphabet,2025-Q2,Devices,Subscriptions_Devices,ROW,210.15,242308.84799792973,867.2815777729895
Alphabet,2025-Q2,Other,Other,US,156.6,137246.60202176022,1141.0118552528631
Alphabet,2025-Q2,Other,Other,EU,52.2,64502.188362452274,809.2748684227034
Alphabet,2025-Q2,Other,Other,APAC,39.15,37899.13561984407,1033.0050899498872
Alphabet,2025-Q2,Other,Other,LATAM,7.83,7159.521298778078,1093.6485378339964
Alphabet,2025-Q2,Other,Other,ROW,5.22,6878.759395562564,758.8577677782105
Alphabet,2025-Q3,Search,Advertising,US,27264.0,31044090.693019126,878.2347748433439
Alphabet,2025-Q3,Search,Advertising,EU,12496.0,15216287.606875878,821.2252766800593
Alphabet,2025-Q3,Search,Advertising,APAC,10224.0,10404894.975373596,982.6144352440135
Alphabet,2025-Q3,Search,Advertising,LATAM,2840.0,3144743.9129555007,903.0942037283107
Alphabet,2025-Q3,Search,Advertising,ROW,3976.0000000000005,5063628.951111585,785.2076126405699
Alphabet,2025-Q3,YouTube_Ads,Advertising,US,4590.0,3705451.532916889,1238.7154329844398
Alphabet,2025-Q3,YouTube_Ads,Advertising,EU,2040.0,2380278.5495528462,857.0425509162487
Alphabet,2025-Q3,YouTube_Ads,Advertising,APAC,2244.0,2325933.0617813077,964.7741101721305
Alphabet,2025-Q3,YouTube_Ads,Advertising,LATAM,612.0,706233.5296209076,866.5688817245899
Alphabet,2025-Q3,YouTube_Ads,Advertising,ROW,714.0000000000001,877899.205622882,813.3052125197071
Alphabet,2025-Q3,Network,Advertising,US,2880.0,3724056.5807178104,773.3502264471183
Alphabet,2025-Q3,Network,Advertising,EU,1800.0,1518471.0165401865,1185.4029351849422
Alphabet,2025-Q3,Network,Advertising,APAC,1440.0,1994860.493360773,721.8549892549174
Alphabet,2025-Q3,Network,Advertising,LATAM,576.0,541086.8458586795,1064.52412289919
Alphabet,2025-Q3,Network,Advertising,ROW,504.00000000000006,428241.3133511,1176.9065344398198
Alphabet,2025-Q3,Cloud,Cloud,US,8525.0,7027758.828979093,1213.0467489645498
Alphabet,2025-Q3,Cloud,Cloud,EU,3100.0,2840891.0661154753,1091.2069234104144
Alphabet,2025-Q3,Cloud,Cloud,APAC,2790.0,3813971.2612619447,731.5209813817163
Alphabet,2025-Q3,Cloud,Cloud,LATAM,465.0,417356.95320617576,1114.1541944559108
Alphabet,2025-Q3,Cloud,Cloud,ROW,620.0,812963.4676761524,762.6418955482262
Alphabet,2025-Q3,Subscriptions,Subscriptions_Devices,US,3750.0,4849808.607894991,773.2263895724432
Alphabet,2025-Q3,Subscriptions,Subscriptions_Devices,EU,1875.0,1940205.4767128713,966.3924890969056
Alphabet,2025-Q3,Subscriptions,Subscriptions_Devices,APAC,1125.0,1215078.8758948778,925.8658201686399
Alphabet,2025-Q3,Subscriptions,Subscriptions_Devices,LATAM,375.0,485400.4067212318,772.5580671286182
Alphabet,2025-Q3,Subscriptions,Subscriptions_Devices,ROW,375.0,453154.42325329786,827.5324718399312
Alphabet,2025-Q3,Devices,Subscriptions_Devices,US,1596.0,2078257.3220044784,767.9511016762152
Alphabet,2025-Q3,Devices,Subscriptions_Devices,EU,1064.0,1334849.6603952276,797.0935091559049
Alphabet,2025-Q3,Devices,Subscriptions_Devices,APAC,760.0,923219.7946249157,823.2059195706171
Alphabet,2025-Q3,Devices,Subscriptions_Devices,LATAM,190.0,256079.0480847841,741.9583969130256
Alphabet,2025-Q3,Devices,Subscriptions_Devices,ROW,190.0,245800.0131727831,772.9861261904858
Alphabet,2025-Q3,Other,Other,US,168.0,152449.51890836572,1102.0041335845826
Alphabet,2025-Q3,Other,Other,EU,56.0,69940.33564272983,800.6824600622444
Alphabet,2025-Q3,Other,Other,APAC,42.0,35784.369342486476,1173.69680594409
Alphabet,2025-Q3,Other,Other,LATAM,8.4,8866.31545108187,947.4059485414576
Alphabet,2025-Q3,Other,Other,ROW,5.6000000000000005,5813.08634083551,963.3436821093419
Alphabet,2025-Q4,Search,Advertising,US,28320.0,26091240.252831437,1085.4217632267096
Alphabet,2025-Q4,Search,Advertising,EU,12980.0,12898907.218935063,1006.2867946631864
Alphabet,2025-Q4,Search,Advertising,APAC,10620.0,9599080.095094407,1106.3560148255594
Alphabet,2025-Q4,Search,Advertising,LATAM,2950.0,4095499.1160659203,720.3029267977792
Alphabet,2025-Q4,Search,Advertising,ROW,4130.0,5232499.104280578,789.2977939779004
Alphabet,2025-Q4,YouTube_Ads,Advertising,US,4725.0,5277680.717561576,895.2796224063876
Alphabet,2025-Q4,YouTube_Ads,Advertising,EU,2100.0,2407269.4157231045,872.3576955216681
Alphabet,2025-Q4,YouTube_Ads,Advertising,APAC,2310.0,2000221.4500845778,1154.872126734929
Alphabet,2025-Q4,YouTube_Ads,Advertising,LATAM,630.0,766326.1573093752,822.104261992014
Alphabet,2025-Q4,YouTube_Ads,Advertising,ROW,735.0000000000001,792124.7038260088,927.8842036486262
Alphabet,2025-Q4,Network,Advertising,US,2840.0,3457492.145192428,821.4046137310714
Alphabet,2025-Q4,Network,Advertising,EU,1775.0,1985745.1712184648,893.8709889501329
Alphabet,2025-Q4,Network,Advertising,APAC,1420.0,1356049.7888660615,1047.1591910997709
Alphabet,2025-Q4,Network,Advertising,LATAM,568.0,685393.8235751028,828.7206281452005
Alphabet,2025-Q4,Network,Advertising,ROW,497.00000000000006,676884.0060920345,734.2469249191035
Alphabet,2025-Q4,Cloud,Cloud,US,9900.0,13234687.271507999,748.0342978192612
Alphabet,2025-Q4,Cloud,Cloud,EU,3600.0,2984253.685204094,1206.331759879789
Alphabet,2025-Q4,Cloud,Cloud,APAC,3240.0,2977347.515951954,1088.216938950127
Alphabet,2025-Q4,Cloud,Cloud,LATAM,540.0,638155.903766225,846.1882070087652
Alphabet,2025-Q4,Cloud,Cloud,ROW,720.0,916781.1072342499,785.356498207189
Alphabet,2025-Q4,Subscriptions,Subscriptions_Devices,US,4000.0,4656062.016177321,859.0950863846193
Alphabet,2025-Q4,Subscriptions,Subscriptions_Devices,EU,2000.0,1829907.0353518699,1092.9516971966957
Alphabet,2025-Q4,Subscriptions,Subscriptions_Devices,APAC,1200.0,1044701.9341887834,1148.652989650877
Alphabet,2025-Q4,Subscriptions,Subscriptions_Devices,LATAM,400.0,441433.4321756441,906.1388894551196
Alphabet,2025-Q4,Subscriptions,Subscriptions_Devices,ROW,400.0,515722.4975981628,775.6109183967951
Alphabet,2025-Q4,Devices,Subscriptions_Devices,US,2100.0,1953504.648150879,1074.991043398739
Alphabet,2025-Q4,Devices,Subscriptions_Devices,EU,1400.0000000000002,1183111.4636931384,1183.3204587755697
Alphabet,2025-Q4,Devices,Subscriptions_Devices,APAC,1000.0,1130626.9974759829,884.4649935234208
Alphabet,2025-Q4,Devices,Subscriptions_Devices,LATAM,250.0,228772.5722202882,1092.788342473466
Alphabet,2025-Q4,Devices,Subscriptions_Devices,ROW,250.0,210113.55807264044,1189.8327851531124
Alphabet,2025-Q4,Other,Other,US,180.0,227512.57658845696,791.1650542536753
Alphabet,2025-Q4,Other,Other,EU,60.0,77564.15781880521,773.5531679485749
Alphabet,2025-Q4,Other,Other,APAC,45.0,46755.059879652355,962.4626749667334
Alphabet,2025-Q4,Other,Other,LATAM,9.0,8788.012344908737,1024.1223665569923
Alphabet,2025-Q4,Other,Other,ROW,6.0,5797.6352019730475,1034.9047139009513
Alphabet,2026-Q1,Search,Advertising,US,29280.0,29765546.00895247,983.6876498483706
Alphabet,2026-Q1,Search,Advertising,EU,13420.0,15868513.724825835,845.6998703668634
Alphabet,2026-Q1,Search,Advertising,APAC,10980.0,12894271.527415019,851.5409324718337
Alphabet,2026-Q1,Search,Advertising,LATAM,3050.0,3438720.4486052943,886.9578221274268
Alphabet,2026-Q1,Search,Advertising,ROW,4270.0,4865512.750288046,877.6053458594286
Alphabet,2026-Q1,YouTube_Ads,Advertising,US,4860.0,4125139.8838510867,1178.1418659342223
Alphabet,2026-Q1,YouTube_Ads,Advertising,EU,2160.0,1743683.4347111618,1238.7569652846994
Alphabet,2026-Q1,YouTube_Ads,Advertising,APAC,2376.0,3180558.8891035765,747.0385183371538
Alphabet,2026-Q1,YouTube_Ads,Advertising,LATAM,648.0,842160.6998390338,769.4493463347974
Alphabet,2026-Q1,YouTube_Ads,Advertising,ROW,756.0000000000001,804247.6705043652,940.0089396912922
Alphabet,2026-Q1,Network,Advertising,US,2940.0,2874014.958124605,1022.9591852641062
Alphabet,2026-Q1,Network,Advertising,EU,1837.5,1948365.0748457992,943.0984078512219
Alphabet,2026-Q1,Network,Advertising,APAC,1470.0,1808606.508458625,812.7804434657262
Alphabet,2026-Q1,Network,Advertising,LATAM,588.0,763446.7724806765,770.1912185566057
Alphabet,2026-Q1,Network,Advertising,ROW,514.5,545040.1944936923,943.9670783875634
Alphabet,2026-Q1,Cloud,Cloud,US,10400.0,13739010.403563512,756.9686385347327
Alphabet,2026-Q1,Cloud,Cloud,EU,3600.0,3562570.7692421204,1010.5062420320262
Alphabet,2026-Q1,Cloud,Cloud,APAC,4400.0,4861289.479436605,905.1096460336556
Alphabet,2026-Q1,Cloud,Cloud,LATAM,600.0,693974.8569045933,864.5846373689114
Alphabet,2026-Q1,Cloud,Cloud,ROW,1000.0,1233426.904358674,810.7493005594479
Alphabet,2026-Q1,Subscriptions,Subscriptions_Devices,US,4250.0,3776054.7588866586,1125.5133390208252
Alphabet,2026-Q1,Subscriptions,Subscriptions_Devices,EU,2125.0,2058110.6032890244,1032.500389728366
Alphabet,2026-Q1,Subscriptions,Subscriptions_Devices,APAC,1275.0,1578990.086831678,807.4781536838847
Alphabet,2026-Q1,Subscriptions,Subscriptions_Devices,LATAM,425.0,484889.04014461976,876.489185800616
Alphabet,2026-Q1,Subscriptions,Subscriptions_Devices,ROW,425.0,569486.1773269319,746.2867702862875
Alphabet,2026-Q1,Devices,Subscriptions_Devices,US,1512.0,1615897.105996188,935.7031424769239
Alphabet,2026-Q1,Devices,Subscriptions_Devices,EU,1008.0000000000001,1052319.4486764714,957.8840353732767
Alphabet,2026-Q1,Devices,Subscriptions_Devices,APAC,720.0,708411.1179732634,1016.3589781875417
Alphabet,2026-Q1,Devices,Subscriptions_Devices,LATAM,180.0,168988.23784671252,1065.162891178711
Alphabet,2026-Q1,Devices,Subscriptions_Devices,ROW,180.0,214282.764154447,840.0115646737818
Alphabet,2026-Q1,Other,Other,US,210.0,201350.43622965965,1042.9577602726158
Alphabet,2026-Q1,Other,Other,EU,70.0,92215.571867008,759.0908843568526
Alphabet,2026-Q1,Other,Other,APAC,52.5,50525.42446304141,1039.0808302541418
Alphabet,2026-Q1,Other,Other,LATAM,10.5,12642.16567671843,830.5538994269469
Alphabet,2026-Q1,Other,Other,ROW,7.0,7986.373395987273,876.4929527984663
Alphabet,2026-Q2,Search,Advertising,US,30370.079999999998,35747870.38097177,849.5633355593034
Alphabet,2026-Q2,Search,Advertising,EU,13919.62,12153795.558886014,1145.2899575740303
Alphabet,2026-Q2,Search,Advertising,APAC,11388.779999999999,14626618.787334079,778.6338158933979
Alphabet,2026-Q2,Search,Advertising,LATAM,3163.55,2941838.863363701,1075.364813279676
Alphabet,2026-Q2,Search,Advertising,ROW,4428.97,6006226.4731010655,737.3964368202196
Alphabet,2026-Q2,YouTube_Ads,Advertising,US,4974.75,5962163.821115776,834.3866671997972
Alphabet,2026-Q2,YouTube_Ads,Advertising,EU,2211.0,2745076.247624655,805.4421081794005
Alphabet,2026-Q2,YouTube_Ads,Advertising,APAC,2432.1,2067878.9050496134,1176.132700063328
Alphabet,2026-Q2,YouTube_Ads,Advertising,LATAM,663.3,887020.705566621,747.784122554715
Alphabet,2026-Q2,YouTube_Ads,Advertising,ROW,773.85,948137.5470056701,816.1790474851558
Alphabet,2026-Q2,Network,Advertising,US,2921.2000000000003,2347786.2513467805,1244.2359257893634
Alphabet,2026-Q2,Network,Advertising,EU,1825.75,2213628.7642841334,824.7769587464817
Alphabet,2026-Q2,Network,Advertising,APAC,1460.6000000000001,1174262.6823004587,1243.8443476195528
Alphabet,2026-Q2,Network,Advertising,LATAM,584.24,509094.52389343467,1147.6061371312157
Alphabet,2026-Q2,Network,Advertising,ROW,511.21000000000004,626283.2125105992,816.2601037168123
Alphabet,2026-Q2,Cloud,Cloud,US,12384.0,14876117.495383972,832.4752748049166
Alphabet,2026-Q2,Cloud,Cloud,EU,3962.88,4191230.7198263695,945.5170246901059
Alphabet,2026-Q2,Cloud,Cloud,APAC,6439.68,5680186.529216958,1133.7092482573353
Alphabet,2026-Q2,Cloud,Cloud,LATAM,743.04,890318.1394026019,834.5780762128192
Alphabet,2026-Q2,Cloud,Cloud,ROW,1238.4,1547967.1204251742,800.0169923892527
Alphabet,2026-Q2,Subscriptions,Subscriptions_Devices,US,4500.0,4042645.16366113,1113.1325698456
Alphabet,2026-Q2,Subscriptions,Subscriptions_Devices,EU,2250.0,2730557.3448557486,824.0075983897215
Alphabet,2026-Q2,Subscriptions,Subscriptions_Devices,APAC,1350.0,1368066.0399692466,986.7944679266706
Alphabet,2026-Q2,Subscriptions,Subscriptions_Devices,LATAM,450.0,607082.0260202144,741.2507383063521
Alphabet,2026-Q2,Subscriptions,Subscriptions_Devices,ROW,450.0,562915.7156542656,799.4091965916675
Alphabet,2026-Q2,Devices,Subscriptions_Devices,US,1642.62,1583877.776909269,1037.0875985174555
Alphabet,2026-Q2,Devices,Subscriptions_Devices,EU,1095.0800000000002,1492392.3172653802,733.7748843458237
Alphabet,2026-Q2,Devices,Subscriptions_Devices,APAC,782.2,637602.2370950271,1226.7836505150503
Alphabet,2026-Q2,Devices,Subscriptions_Devices,LATAM,195.55,178125.40161875047,1097.8220861421223
Alphabet,2026-Q2,Devices,Subscriptions_Devices,ROW,195.55,184822.47560469335,1058.0423152552678
Alphabet,2026-Q2,Other,Other,US,292.8,362851.8290464213,806.9409509922597
Alphabet,2026-Q2,Other,Other,EU,97.60000000000001,108892.39986617496,896.2976306881571
Alphabet,2026-Q2,Other,Other,APAC,73.2,78955.3679147074,927.1060591988538
Alphabet,2026-Q2,Other,Other,LATAM,14.639999999999999,13666.732847774858,1071.2143248182101
Alphabet,2026-Q2,Other,Other,ROW,9.76,12237.871398265885,797.5243146764068
